DateTime,Entries,UniqueIPs
1547332407,1260,1260
1547334502,1262,1262
1547336428,1253,1253
1547338623,1258,1258
1547340496,1260,1260
1547342454,1258,1258
1547344362,1261,1261
1547346283,1268,1268
1547348171,1270,1270
1547350096,1282,1282
1547352306,1285,1285
1547354452,1282,1282
1547356359,1283,1283
1547358508,1276,1276
1547360445,1273,1273
1547362347,1268,1268
1547364278,1273,1273
1547366500,1261,1261
1547368340,1248,1248
1547370535,1249,1249
1547372687,1245,1245
1547374828,1255,1255
1547376732,1248,1248
1547378685,1249,1249
1547380571,1254,1254
1547382515,1251,1251
1547385390,1253,1253
1547387327,1253,1253
1547389481,1249,1249
1547391385,1245,1245
1547393564,1235,1235
1547395502,1242,1242
1547397627,1246,1246
1547399853,1246,1246
1547401709,1242,1242
1547403615,1234,1234
1547405539,1244,1244
1547407493,1249,1249
1547409405,1252,1252
1547411543,1264,1264
1547413494,1264,1264
1547415388,1259,1259
1547417572,1255,1255
1547419531,1264,1264
1547421406,1266,1266
1547423303,1274,1274
1547425249,1270,1270
1547427151,1271,1271
1547429079,1276,1276
1547432212,1279,1279
1547434126,1283,1283
1547436293,1278,1278
1547439639,1284,1284
1547441567,1280,1280
1547443730,1278,1278
1547445681,1286,1286
1547447566,1286,1286
1547449497,1286,1286
1547451414,1273,1273
1547453540,1272,1272
1547455477,1271,1271
1547457643,1253,1253
1547459535,1246,1246
1547461450,1231,1231
1547463401,1231,1231
1547465297,1230,1230
1547467228,1224,1224
1547469268,1221,1221
1547471098,1223,1223
1547472983,1226,1226
1547474951,1221,1221
1547476823,1221,1221
1547479002,1214,1214
1547480918,1203,1203
1547482835,1201,1201
1547484732,1209,1209
1547486670,1213,1213
1547488614,1234,1234
1547490499,1241,1241
1547493377,1237,1237
1547495538,1241,1241
1547497484,1232,1232
1547499374,1231,1231
1547501299,1217,1217
1547503236,1219,1219
1547505170,1221,1221
1547507055,1211,1211
1547509167,1208,1208
1547511146,1230,1230
1547513074,1230,1230
1547514990,1231,1231
1547517153,1247,1247
1547519083,1248,1248
1547520975,1243,1243
1547522899,1249,1249
1547524850,1255,1255
1547526733,1278,1278
1547528720,1312,1312
1547530835,1310,1310
1547532771,1309,1309
1547534896,1318,1318
1547536822,1327,1327
1547538730,1334,1334
1547540664,1357,1357
1547542849,1368,1368
1547544739,1374,1374
1547546687,1378,1378
1547548855,1388,1388
1547550744,1393,1393
1547552686,1394,1394
1547554851,1404,1404
1547556756,1395,1395
1547558652,1391,1391
1547560583,1388,1388
1547562514,1381,1381
1547564469,1385,1385
1547566608,1384,1384
1547568806,1393,1393
1547570653,1397,1397
1547572570,1409,1409
1547574534,1417,1417
1547576678,1422,1422
1547578861,1463,1463
1547580767,1476,1476
1547582696,1489,1489
1547584602,1491,1491
1547586519,1497,1497
1547588432,1514,1514
1547590366,1518,1518
1547592274,1520,1520
1547594452,1520,1520
1547596359,1536,1536
1547598293,1543,1543
1547600194,1552,1552
1547602111,1551,1551
1547604094,1541,1541
1547605947,1548,1548
1547607866,1558,1558
1547609786,1563,1563
1547611969,1565,1565
1547613867,1557,1557
1547616041,1556,1556
1547617978,1559,1559
1547619858,1562,1562
1547621801,1560,1560
1547623698,1565,1565
1547626593,1567,1567
1547628787,1555,1555
1547630666,1553,1553
1547632598,1553,1553
1547634498,1550,1550
1547636443,1574,1574
1547638341,1583,1583
1547640264,1583,1583
1547642175,1592,1592
1547644111,1594,1594
1547646046,1603,1603
1547647941,1604,1604
