DateTime,AddedIPs,RemovedIPs
1547929323,80,80
1547929922,80,80
1547930523,80,80
1547931723,80,80
1547932923,80,80
1547934123,80,80
1547934723,80,80
1547935323,80,80
1547936523,80,80
1547937723,80,80
1547938324,80,80
1547938923,79,79
1547939524,80,80
1547940123,80,80
1547941323,80,80
1547942524,80,80
1547943722,79,79
1547944323,78,78
1547944923,80,80
1547946123,80,80
1547947322,80,80
1547947923,80,80
1547948523,80,80
1547949125,80,80
1547949723,80,80
1547950323,80,80
1547950922,80,80
1547951523,80,80
1547952123,79,79
1547953323,80,80
1547954524,79,79
1547955123,80,80
1547955722,80,80
1547956923,80,80
1547958124,80,80
1547958723,80,80
1547959323,80,80
1547960523,80,80
1547961723,80,80
1547962923,80,80
1547964124,80,80
1547965323,80,80
1547965923,80,80
1547966523,80,80
1547967723,80,80
1547968323,80,80
1547968923,80,80
1547970123,79,79
1547970723,80,80
1547971323,80,80
1547972523,80,80
1547973123,80,80
1547973723,80,80
1547974323,80,80
1547974924,80,80
1547975524,80,80
1547976123,80,80
1547976723,80,80
1547977323,80,80
1547978523,80,80
1547979124,76,76
1547979723,79,79
1547980923,80,80
1547981524,80,80
1547982123,80,80
1547982724,80,80
1547983322,80,80
1547983923,80,80
1547984522,80,80
1547985123,80,80
1547985723,80,80
1547986923,79,79
1547987524,79,79
1547988123,80,80
1547988723,80,80
1547989323,80,80
1547990523,80,80
1547991123,80,80
1547991723,80,80
1547992323,80,80
1547992922,80,80
1547994123,80,80
1547994723,80,80
1547995323,80,80
1547996523,80,80
1547997123,80,80
1547997723,80,80
1547998924,80,80
1547999524,79,79
1548000124,80,80
1548000723,80,80
1548001323,80,80
1548001922,79,79
1548002523,80,80
1548003723,80,80
1548004923,80,80
1548006123,80,80
1548007323,80,80
1548008525,80,80
1548009723,80,80
1548010923,79,79
1548011524,80,80
1548012124,80,80
1548012723,80,80
1548013323,80,80
1548014523,80,80
1548015723,80,80
1548016323,80,80
1548016923,80,80
1548017523,80,80
1548018123,79,79
1548019322,80,80
1548019924,79,79
1548020523,80,80
1548021123,80,80
1548021723,80,80
1548022924,79,79
1548023523,80,80
1548024123,79,79
1548025325,80,80
1548025924,80,80
1548026523,80,80
1548027123,80,80
1548027724,80,80
1548028925,80,80
1548029523,80,80
1548030123,80,80
1548030723,80,80
1548031323,80,80
1548031923,80,80
1548032523,80,80
1548033124,79,79
1548033724,80,80
1548034922,80,80
1548035522,80,80
1548036123,79,79
1548036723,80,80
1548037323,80,80
1548037923,80,80
1548038523,80,80
1548039123,79,79
1548039723,80,80
1548040922,80,80
1548042123,80,80
1548043324,80,80
1548044522,80,80
1548045123,80,80
1548045723,80,80
1548046923,80,80
1548047523,79,79
1548048124,80,80
1548049323,80,80
1548050523,80,80
1548051123,80,80
1548051723,80,80
1548052323,80,80
1548052923,78,78
1548053523,80,80
1548054124,80,80
1548055323,79,79
1548055922,78,78
1548056522,80,80
1548057723,78,78
1548058323,80,80
1548058923,80,80
1548059522,80,80
1548060123,80,80
1548060723,80,80
1548061322,80,80
1548061923,79,79
1548062523,80,80
1548063123,80,80
1548063723,80,80
1548064924,79,79
1548066123,80,80
1548067323,79,79
1548068523,80,80
1548069123,79,79
1548069723,80,80
1548070322,80,80
1548070922,80,80
1548071523,80,80
1548072123,80,80
1548073322,80,80
1548074523,80,80
1548075123,80,80
1548075723,80,80
1548076922,80,80
1548078123,79,79
1548079323,80,80
1548080523,80,80
1548081724,80,80
1548082924,80,80
1548083524,80,80
1548084123,80,80
1548084723,80,80
1548085323,79,79
1548086523,80,80
1548087723,79,79
1548088323,80,80
1548088924,80,80
1548090123,80,80
1548090723,80,80
1548091322,80,80
1548091922,80,80
1548092523,79,79
1548093723,80,80
1548094324,80,80
1548094923,80,80
1548095523,80,80
1548096124,80,80
1548097324,79,79
1548097923,80,80
1548098523,80,80
1548099123,79,79
1548099723,80,80
1548100323,80,80
1548100923,80,80
1548101523,80,80
1548102123,80,80
1548103322,80,80
1548104522,80,80
1548105723,76,76
1548106324,80,80
1548106922,80,80
1548108123,80,80
1548108723,80,80
1548109324,80,80
1548109922,80,80
1548110523,80,80
1548111723,80,80
1548112923,80,80
1548113523,80,80
1548114123,80,80
1548114723,80,80
1548115324,80,80
1548116522,80,80
1548117123,80,80
1548117722,80,80
1548118922,78,78
1548120123,80,80
1548121323,80,80
1548121922,80,80
