DateTime,Entries,UniqueIPs
1542834039,2393,2414
1542844234,2394,2415
1542855034,2397,2418
1542866441,2400,2421
1542877238,2397,2418
1542887433,2398,2420
1542899443,2400,2423
1542911435,2394,2417
1542922234,2390,2413
1542932434,2396,2420
1542943837,2400,2424
1542954036,2405,2429
1542965441,2408,2432
1542976237,2406,2430
1542988238,2413,2437
1543000839,2405,2429
1543012838,2402,2426
1543024842,2411,2434
1543035654,2413,2436
1543047038,2420,2443
1543059056,2422,2445
1543071038,2422,2446
1543083043,2423,2447
1543095641,2425,2449
1543107644,2423,2447
1543118438,2426,2450
1543129243,2428,2453
1543140044,2421,2446
1543150846,2424,2449
1543161656,2429,2454
1543171839,2428,2453
1543182642,2432,2457
1543192839,2423,2448
1543203052,2425,2450
1543214439,2426,2451
1543227646,2421,2446
1543239039,2426,2451
1543249239,2432,2457
1543260643,2429,2454
1543270241,2423,2448
1543281039,2425,2450
1543296638,2407,2432
1543310444,2413,2438
1543324844,2402,2427
1543339854,2400,2425
1543354243,2396,2421
1543366848,2387,2413
1543381842,2387,2413
1543395641,2386,2412
1543408245,2387,2415
1543421439,2387,2417
1543435244,2381,2411
1543447241,2378,2408
1543460457,2376,2406
1543473640,2375,2405
1543485644,2373,2402
1543497641,2375,2404
1543510242,2371,2400
1543522842,2368,2397
1543534842,2370,2399
1543546839,2366,2395
1543557042,2359,2388
1543569640,2357,2386
1543581039,2360,2389
1543593040,2352,2381
1543605640,2351,2380
1543616440,2350,2379
1543626640,2349,2378
1543638641,2346,2375
1543649440,2341,2369
1543660839,2340,2368
1543673440,2341,2368
1543683040,2341,2368
1543694442,2329,2358
1543703442,2321,2350
1543713039,2324,2352
1543724443,2331,2359
1543735251,2328,2356
1543746647,2323,2352
1543757442,2318,2347
1543768843,2313,2344
1543780857,2315,2346
1543790441,2319,2350
1543799439,2322,2353
1543810844,2319,2350
1543822242,2311,2342
1543833644,2316,2347
1543847439,2309,2340
1543858240,2310,2341
1543869640,2311,2342
1543881039,2310,2341
1543893039,2305,2337
1543906839,2304,2336
1543918840,2295,2325
1543930839,2295,2325
1543944039,2288,2318
1543955445,2286,2316
1543965039,2288,2318
1543977039,2284,2314
1543987839,2286,2315
1543999239,2277,2307
1544011249,2269,2299
1544022057,2269,2299
1544031640,2270,2300
1544042439,2265,2295
1544053240,2252,2282
1544062241,2256,2286
1544073641,2260,2290
1544085048,2260,2291
1544095857,2258,2289
1544106057,2256,2287
1544115652,2247,2278
1544125841,2246,2277
1544134840,2236,2267
1544144450,2236,2267
1544153449,2238,2270
1544163640,2235,2267
1544174440,2229,2259
1544185240,2228,2260
1544196652,2218,2250
1544206841,2205,2237
1544217658,2202,2234
1544227255,2200,2232
1544236254,2196,2228
1544245844,2189,2221
1544267441,2188,2220
1544278840,2177,2209
1544289641,2175,2207
1544310641,2174,2206
1544320856,2170,2202
1544331040,2179,2211
1544343041,2178,2210
1544355058,2177,2209
1544365850,2169,2201
1544375440,2177,2209
1544386835,2169,2200
1544397040,2169,2200
1544408439,2177,2208
1544419840,2174,2206
1544430639,2177,2209
1544441443,2184,2216
1544451639,2176,2208
1544462440,2175,2206
1544472640,2178,2209
1544481642,2183,2214
1544493040,2175,2206
