DateTime,AddedIPs,RemovedIPs
1547819416,1,0
1547820316,0,100
1547821215,1,0
1547822415,1,0
1547823315,20,0
1547824215,3,100
1547824815,5,0
1547826015,8,2
1547826616,4,0
1547827515,1,100
1547829017,0,6
1547829616,54,0
1547830515,3,2
1547831115,0,99
1547831415,1,0
1547832317,2,0
1547833216,2,0
1547834715,3,99
1547835616,5,0
1547836515,8,0
1547837715,44,0
1547838315,1,100
1547839216,3,0
1547839816,140,0
1547840115,6,0
1547841017,36,0
1547841315,4,0
1547841914,0,100
1547842216,1,0
1547842816,1,0
1547844915,33,0
1547845815,16,100
1547847316,64,0
1547848215,3,0
1547849115,0,100
1547849415,5,0
1547851215,5,0
1547852115,1,0
1547853015,4,100
1547853915,5,0
1547854816,3,0
1547855416,2,0
1547856615,5,100
1547858416,37,0
1547859315,4,0
1547860215,0,100
1547861416,3,0
1547862016,47,0
1547862916,1,0
1547863515,0,100
1547864116,1,0
1547865615,8,0
1547866215,1,0
1547867115,0,100
1547868015,5,0
1547868915,5,0
1547869815,9,0
1547870715,0,100
1547871015,44,0
1547871915,1,0
1547872514,14,0
1547874015,5,0
1547874315,6,100
1547875816,3,0
1547876415,5,0
1547877315,19,0
1547877915,23,0
1547878216,0,100
1547879121,2,0
1547879714,6,0
1547880615,2,0
1547881516,3,0
1547881815,0,100
1547882717,61,0
1547883615,1,0
1547884215,1,0
1547885114,0,100
1547886316,3,0
1547887215,21,0
1547888415,3,0
1547889015,6,100
1547891715,2,0
1547892315,0,100
1547892615,2,0
1547893216,59,0
1547893815,15,0
1547894416,4,0
1547895917,0,100
1547896815,2,0
1547898615,6,0
1547899514,0,100
1547900715,1,0
1547901315,29,0
1547902816,5,0
1547903115,3,100
1547905216,5,0
1547906115,3,0
1547906715,3,99
1547907015,4,0
1547907617,1,0
1547908816,39,0
1547910615,4,100
1547911515,1,0
1547912114,8,0
1547913616,3,0
1547913915,2,100
1547914515,8,0
1547915115,9,0
1547915714,38,0
1547917815,1,99
1547918116,0,4
1547918716,1,0
1547919616,8,0
1547920217,4,4
1547920815,75,2
1547921715,3,0
1547922016,6,0
1547922915,4,0
1547925015,1,0
1547925616,1,0
1547926816,64,0
1547927417,11,0
1547929515,2,0
1547930417,4,0
1547931315,65,0
1547931915,2,0
1547933117,1,0
1547933418,21,0
1547934015,1,0
1547934616,3,0
1547935815,1,0
1547936415,3,0
1547937614,50,0
1547938215,14,0
1547939716,1022,0
1547940316,1,0
1547941216,4,0
1547942715,2,0
1547943916,4,0
1547944515,3,0
1547945416,2,0
1547946614,3,0
1547948415,1,0
1547949015,2,0
1547949917,1,0
1547952016,54,0
1547952915,24,0
1547955616,27,0
1547956515,5,0
1547959215,5,0
1547959817,1,0
1547960715,3,0
1547961615,5,0
1547962515,35,0
1547963715,1,0
1547964315,4,0
1547965518,2,0
1547967315,58,0
1547970016,1,0
1547970617,9,0
1547972717,1,0
1547973315,24,0
1547974215,10,0
1547975416,65,0
1547975716,33,0
1547976016,1,0
1547977216,41,0
1547980816,2,0
1547981416,2,0
1547982915,3,0
1547983217,1,0
1547984415,47,0
1547985616,1,0
1547987715,4,0
1547988915,3,0
1547990417,3,0
1547991616,25,0
1547991916,345,0
1547993116,1,0
1547993415,2,0
1547994015,2,0
1547994616,48,0
1547995216,2,0
1547995817,4,0
1547997015,1,0
1547999115,1,0
1547999416,84,0
1548000316,1,0
1548000915,11,0
1548001216,10,0
1548002115,9,0
1548003015,3,0
1548004815,2,0
1548005715,0,6
1548006015,27,0
1548006615,0,2
1548006915,1,0
1548007514,4,0
1548008415,3,0
1548009615,3,0
1548010515,4,0
1548011415,5,0
1548012616,1,0
1548013216,52,0
1548014115,5,0
1548015014,2,0
1548016815,3,0
1548017716,3,0
1548018615,3,0
1548019216,10,0
1548020115,4,0
1548021315,7,0
1548021915,2,0
1548022216,2,0
1548023716,64,0
1548024617,6,0
1548025814,2,0
1548026717,2,0
1548027616,7,0
1548029115,2,0
1548029716,85,0
1548031215,23,0
1548033920,1,0
1548034515,3,0
1548035715,3,0
1548038416,2,0
1548039615,16,0
1548039915,4,0
1548042916,6,0
1548043515,43,0
1548044717,25,0
1548045615,2,0
1548046515,3,0
1548047716,18,0
1548048316,92,0
1548048617,16,0
1548050115,6,0
1548051015,1,0
1548052515,1,0
1548053715,17,0
1548054615,5,0
1548055215,2,0
1548056416,3,0
1548057017,2,0
1548057915,2,0
1548059716,39,0
1548060616,10,0
1548061815,3,0
1548062716,2,0
1548063617,2,0
1548064515,3,0
1548065115,1,0
1548066616,1,0
1548067215,29,0
1548069015,2,0
1548069616,12,0
1548070816,11,0
1548071715,3,0
1548072317,2,0
1548072616,1,0
1548073815,1,0
1548074415,3,0
1548074716,0,1
1548075315,49,1
1548076215,2,0
1548077416,1,0
1548078915,5,0
1548081616,28,4
1548082516,7,0
1548083415,4,0
1548085214,2,0
1548087015,3,0
1548087615,1,0
1548088515,38,0
1548089415,3,0
1548090314,2,0
1548092416,2,0
1548093315,2,0
1548093914,3,0
1548095117,3,0
1548096015,157,1
1548096615,5,0
1548099018,2,0
1548099616,1,0
1548100815,2,0
1548101715,6,0
1548102015,3,0
1548102618,29,0
1548103215,5,0
1548103816,1,0
1548105917,2,0
1548109215,1,0
1548110115,5,0
1548111315,6,0
1548113116,1,0
1548114016,70,0
1548114616,5,0
1548115815,2,0
1548117615,1,0
1548118216,33,0
1548119416,3,0
1548121816,1,0
1548122715,79,0
1548124816,18,0
1548125715,1,0
1548127515,2,0
1548128418,1,0
1548130215,4,0
1548130815,6,0
1548132016,17,0
1548132915,4,0
1548134415,11,0
1548134716,74,1
1548135016,13,0
1548135315,28,0
1548135616,25,0
1548136515,1,0
1548137716,1,0
1548139216,1,0
1548140114,68,0
1548140716,1,0
1548141918,2,0
1548143715,1,0
1548144615,3,0
1548145516,1,0
1548146415,19,0
1548147017,1,0
1548149415,3,0
1548150016,1,0
1548150616,0,1
1548150915,2,0
1548151515,4,0
1548152415,1,0
1548153616,18,0
1548154217,1,0
1548155116,2,0
1548158115,2,0
1548159016,3,0
1548159916,1,0
1548161416,19,0
1548162916,3,0
1548164416,1,0
1548165016,2,0
1548166215,1,0
1548168016,1,0
1548168922,25,0
1548169515,84,0
1548169816,29,0
1548170415,19,0
1548171315,17,0
1548172216,23,0
1548173116,2,0
1548173416,0,5
1548174017,2,1
1548175217,3,0
1548175816,6,0
1548177916,1,0
1548178816,4,0
1548182115,32,0
1548183016,1,0
1548184216,15,0
1548186016,1,0
1548186915,10,0
1548187815,9,0
1548189315,37,0
1548189616,39,0
1548190515,24,0
1548190818,1,0
1548191415,6,0
1548192315,3,0
1548195016,1,0
1548196817,72,0
1548198616,1,0
1548200115,2,0
1548201316,4,0
1548201915,40,0
1548203116,2,0
1548204015,54,0
1548204615,32,0
1548206717,40,0
1548207615,3,0
1548209715,2,0
1548211215,27,0
1548212115,9,0
1548212717,3,0
1548214216,330,0
1548214515,4,0
1548215715,2,0
1548216615,1,0
1548217817,1,0
1548218416,54,0
1548219314,6,0
1548220215,4,0
1548220816,30,0
1548221416,94,0
1548222015,34,0
1548225015,7,0
1548225616,17,0
1548226515,9,0
1548227415,4,0
1548228015,6,0
1548229515,76,0
1548230115,6,0
1548232217,1,0
1548232815,28,0
1548233715,8,0
1548234315,4,0
1548235816,3,0
1548236415,2,0
1548237316,2,0
1548239416,1,0
1548240015,38,0
1548240915,3,0
1548241816,2,0
1548242416,10,0
1548243616,1,0
1548244515,9,0
1548245415,2,0
1548247216,1,0
1548248115,35,0
1548250216,4,0
1548250816,3,0
1548252615,1,0
1548254416,32,0
1548254717,97,0
1548255315,13,0
1548256515,266,6
1548258017,34,0
1548258915,6,0
1548259217,1,0
1548259515,1,0
1548260717,30,0
1548261315,36,0
1548262516,1,0
1548263417,3,0
1548264017,11,0
1548265217,19,0
1548265815,1,0
1548267015,3,0
1548268817,43,0
1548269416,2,0
1548270616,2,0
1548271818,5,0
1548272116,5,0
1548273316,11,0
1548274216,1,0
1548275417,1,0
1548276017,3,0
1548276915,3,0
1548278716,143,0
1548279017,86,0
1548281417,30,0
1548282016,2,0
1548283216,3,0
1548283818,1,0
1548284717,817,0
1548285316,1,0
1548285916,1,0
1548286816,6,0
1548288017,1,0
1548289517,1,0
1548290416,3,0
1548291016,1,0
1548292816,1,0
1548293715,1,0
1548294618,1,0
1548297617,3,0
1548298817,107,0
1548299715,6,0
1548300315,2,0
1548301215,3,0
1548302115,2,0
1548303016,3,0
1548304216,3,0
1548304816,44,0
1548305715,3,0
1548306616,4,0
1548307516,67,0
1548307818,25,0
1548308416,10,0
1548309016,2,0
1548310218,2,0
1548311715,31,0
1548313217,4,0
1548314116,41,0
1548315016,2,0
1548315615,5,0
1548316516,3,0
1548317115,1,0
1548317716,0,1
1548318616,1,0
1548319216,29,0
1548319817,2,0
1548321016,1,0
1548322817,5,0
1548323419,2,0
1548326716,28,0
1548327315,3,0
1548328217,4,0
1548328819,1,0
